NAME,GAIA_DESIG,RA,DEC,GLON,GLAT,SPEC_CLASS,SPEC_SIMBAD,COLOUR_SDSS,COLOUR_APASS,COLOUR_PS1,COLOUR_SKYM,PLX,PLX_ZP,e_PLX,M_G,G_GAIA,e_G_GAIA,BP_GAIA,e_BP_GAIA,RP_GAIA,e_RP_GAIA,PMRA_GAIA,e_PMRA_GAIA,PMDEC_GAIA,e_PMDEC_GAIA,RV_SDSS,e_RV_SDSS,RV_LAMOST,e_RV_LAMOST,TEFF,e_TEFF,LOG_G,e_LOG_G,LOG_Y,e_LOG_Y,PARAMS_REF,EB-V,e_EB-V,AV,FUV_GALEX,e_FUV_GALEX,NUV_GALEX,e_NUV_GALEX,V_APASS,e_V_APASS,B_APASS,e_B_APASS,g_APASS,e_g_APASS,r_APASS,e_r_APASS,i_APASS,e_i_APASS,u_SDSS,e_u_SDSS,g_SDSS,e_g_SDSS,r_SDSS,e_r_SDSS,I_SDSS,e_i_SDSS,z_SDSS,e_z_SDSS,u_VST,e_u_VST,g_VST,e_g_VST,r_VST,e_r_VST,I_VST,e_i_VST,z_VST,e_z_VST,u_SKYM,e_u_SKYM,v_SKYM,e_v_SKYM,g_SKYM,e_g_SKYM,r_SKYM,e_r_SKYM,i_SKYM,e_i_SKYM,z_SKYM,e_z_SKYM,g_PS1,e_g_PS1,r_PS1,e_r_PS1,i_PS1,e_i_PS1,z_PS1,e_z_PS1,y_PS1,e_y_PS1,J_2MASS,e_J_2MASS,H_2MASS,e_H_2MASS,K_2MASS,e_K_2MASS,Y_UKIDSS,e_Y_UKIDSS,J_UKIDSS,e_J_UKIDSS,H_UKIDSS,e_H_UKIDSS,K_UKIDSS,e_K_UKIDSS,Z_VISTA,e_Z_VISTA,Y_VISTA,e_Y_VISTA,J_VISTA,e_J_VISTA,H_VISTA,e_H_VISTA,Ks_VISTA,e_Ks_VISTA,W1,e_W1,W2,e_W2,W3,e_W3,W4,e_W4
EC02109-2408,Gaia EDR3 5122936870687263232,33.29935083959,-23.90974579857,207.58173119494,-71.29761097443,sdB,sdB,,,,,1.0465,1.0731,0.0356,4.5663,14.4131,0.0028,14.2857,0.0033,14.6610,0.0042,17.1581,0.0323,-1.4800,0.0305,,,,,,,,,,,,0.013,0.001,0.041,,,,,14.433,0.034,14.224,0.033,14.248,0.012,14.652,0.053,14.959,0.069,,,,,,,,,,,13.87310,0.00160,,,,,14.99160,0.00120,15.21290,0.00292,,,,,,,,,,,,,14.2590,0.0030,14.6460,0.0040,14.9990,0.0030,15.2640,0.0030,15.4360,0.0060,15.025,0.039,15.299,0.096,14.885,0.152,,,,,,,,,,,,,,,,,,,15.287,0.035,15.337,0.078,12.913,,9.421,
JL285,Gaia EDR3 4937070855283184128,33.29975658935,-49.74827702361,273.69610179367,-62.48227959121,sdOB,sdOB,,,,,1.5309,1.5669,0.0415,3.6732,12.6980,0.0028,12.5409,0.0031,13.0320,0.0038,5.5112,0.0351,-2.4486,0.0437,,,,,41000,3000,5.70,0.30,2.30,,1984A&A...130..119H,0.013,0.001,0.040,,,,,12.744,0.028,12.501,0.030,12.523,0.033,12.999,0.014,13.396,0.026,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13.451,0.029,13.599,0.030,13.753,0.050,,,,,,,,,,,,,13.4337,0.0015,13.5781,0.0022,13.6520,0.0042,13.749,0.027,13.843,0.040,12.934,,9.141,
JL286,Gaia EDR3 4937050445598579456,33.30167239229,-50.07780674764,274.17004720131,-62.23682468158,sdB,sdB,,,,sdB,1.5987,1.6219,0.0275,5.3095,14.2594,0.0028,14.1353,0.0033,14.4955,0.0040,-5.2644,0.0270,-3.8350,0.0299,,,,,,,,,,,,0.015,0.001,0.047,,,,,14.281,0.014,14.124,0.033,14.093,0.025,14.520,0.033,14.858,0.069,,,,,,,,,,,,,,,,,,,,,13.9390,0.0190,13.9780,0.0230,14.1560,0.0080,14.4530,0.0090,14.8710,0.0100,15.1460,0.0120,,,,,,,,,,,14.730,0.036,14.792,0.051,14.881,0.117,,,,,,,,,,,,,14.8056,0.0029,14.9410,0.0052,14.9815,0.0096,15.004,0.037,14.904,0.074,12.837,,9.264,
PG0212+230,Gaia EDR3 101096662495962240,33.70816459315,23.33145421253,146.65194004568,-35.66976415088,sdB,sdB,sd+MS,sdO/B,sdO/B,,0.8441,0.8809,0.0608,5.3768,15.6522,0.0030,15.5551,0.0039,15.8221,0.0047,-5.9587,0.0854,-8.3300,0.0698,,,-41,3,27540,148,5.72,0.02,-3.20,0.07,2021ApJS..256...28L,0.066,0.002,0.203,14.941,0.013,15.214,0.009,15.670,0.110,15.504,0.021,15.443,0.017,15.927,0.080,,,15.426,0.005,15.469,0.003,15.834,0.004,16.123,0.004,16.381,0.008,,,,,,,,,,,,,,,,,,,,,,,15.5200,0.0020,15.8370,0.0040,16.1580,0.0050,16.3890,0.0030,16.5370,0.0040,16.070,0.080,16.266,0.195,16.026,,,,,,,,,,,,,,,,,,,,,,,,,,,
PG0212+148,Gaia EDR3 78846635958426496,33.79625025217,15.00109861547,151.20600170948,-43.22567523616,sdB,sdB,sdB,sdO/B,sdO/B,,0.9546,0.9840,0.0337,4.4061,14.4412,0.0029,14.3489,0.0035,14.6210,0.0041,-1.6461,0.0412,-13.7239,0.0321,,,,,30600,800,5.90,0.10,-2.80,0.20,2003A&A...400..939E,0.075,0.003,0.233,13.744,0.006,14.098,0.004,14.488,0.005,14.359,0.021,14.343,0.033,14.685,0.035,14.996,0.027,14.167,0.003,14.226,0.003,14.645,0.003,14.907,0.004,15.203,0.005,,,,,,,,,,,,,,,,,,,,,,,14.3060,0.0010,14.6440,0.0040,14.9550,0.0030,15.1900,0.0040,15.3210,0.0030,14.895,0.031,14.792,0.063,14.934,0.108,,,,,,,,,,,,,,,,,,,15.048,0.037,15.283,0.109,12.225,,8.930,0.350
FBS0212+349,Gaia EDR3 326485688513200384,33.88886221270,35.18948400876,141.74716306563,-24.59014430509,sd,sdB:,,sd+MS,sd+MS,,0.2497,0.2893,0.0290,1.6874,14.3807,0.0029,14.4492,0.0030,14.2687,0.0042,0.5117,0.0276,-1.5815,0.0276,,,-50,3,,,,,,,,0.070,0.004,0.217,15.826,0.028,15.979,0.014,14.412,0.028,14.552,0.043,14.399,0.042,14.462,0.025,14.629,0.033,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14.3800,0.0050,14.4860,0.0020,14.6250,0.0020,14.7340,0.0020,14.7270,0.0040,14.171,0.027,14.199,0.043,14.219,0.066,,,,,,,,,,,,,,,,,,,14.003,0.029,13.974,0.048,12.713,,8.879,
LAMOSTJ021534.78+492537.7,Gaia EDR3 355574058902192768,33.89493347380,49.42715574175,136.69934263347,-11.18215364648,sdOB,,,,sdO/B,,0.4553,0.4596,0.0715,5.0937,16.7817,0.0029,16.7313,0.0061,16.8853,0.0086,1.2786,0.0719,-0.6233,0.0844,,,,,38672,262,6.06,0.04,-1.56,0.04,2021ApJS..256...28L,0.204,0.008,0.631,,,16.684,0.027,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16.7127,0.0040,16.9577,0.0031,17.2173,0.0039,17.4362,0.0098,17.5688,0.0069,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PG0212+143,Gaia EDR3 75811331030771200,33.92367415604,14.48832604752,151.66855229446,-43.63222477516,sdB,sdB,sd+MS,sdO/B,sdO/B,,0.7525,0.7823,0.0391,3.9928,14.5258,0.0029,14.4321,0.0034,14.6989,0.0042,14.1627,0.0457,-3.8222,0.0342,,,,,25400,1300,5.00,0.20,,,1990A&A...239..265M,0.077,0.002,0.239,13.828,0.004,14.136,0.003,14.596,0.023,14.457,0.037,14.414,0.018,14.776,0.060,14.961,0.044,14.282,0.003,14.328,0.003,14.709,0.003,14.989,0.003,15.281,0.005,,,,,,,,,,,,,,,,,,,,,,,14.4050,0.0030,14.7320,0.0008,15.0450,0.0020,15.2840,0.0040,15.4160,0.0030,14.953,0.043,15.214,0.086,15.050,0.172,,,,,,,,,,,,,,,,,,,15.242,0.038,15.268,0.100,12.501,,8.972,0.403
EC02151-7248,Gaia EDR3 4644472085074214528,33.92722165148,-72.57375481023,294.44797582831,-43.13905377562,sdB,sdB,,sdO/B,,,-0.0055,0.0214,0.0207,,15.0934,0.0028,15.0338,0.0030,15.2046,0.0042,1.6074,0.0254,-1.0088,0.0264,,,,,,,,,,,,0.027,0.001,0.083,15.347,0.024,15.356,0.009,15.113,0.032,15.016,0.038,14.951,0.061,15.316,0.066,15.507,0.154,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15.335,0.049,15.463,0.109,15.617,0.233,,,,,,,,,,,15.2967,0.0049,15.3472,0.0062,,,15.4469,0.0236,15.219,0.032,15.195,0.052,12.941,,9.540,
FBS0212+334,Gaia EDR3 326009496898928896,33.93398563151,33.66894883900,142.38040059797,-25.99927763750,sd,sdB,,sdO/B,sdO/B,,1.1847,1.2116,0.0350,4.1345,13.7177,0.0029,13.6161,0.0034,13.9090,0.0040,15.2188,0.0327,-11.5928,0.0304,,,,,29697,197,5.63,0.04,-2.64,0.04,2021ApJS..256...28L,0.062,0.001,0.192,,,13.783,0.007,13.731,0.046,13.578,0.030,13.595,0.054,13.920,0.042,14.206,0.071,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13.5940,0.0010,13.9520,0.0040,14.2490,0.0040,14.4890,0.0030,14.6490,0.0050,14.298,0.029,14.334,0.048,14.420,0.081,,,,,,,,,,,,,,,,,,,14.461,0.034,14.492,0.063,12.825,,9.240,
